review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R29JDMOO5XGRTS,1,82,86,Y,N
R2VY3HI3JGX3E0,3,47,48,Y,N
R3KE9P9D8488A1,4,22,22,Y,N
R1LN4L0NJRXGQT,2,34,36,Y,N
R1WGY5QSOW9XGS,5,44,44,Y,N
R2WCMNX56IBX6E,5,30,30,Y,N
R1HP4C1H3DGC85,5,24,24,Y,N
R1GHAFCKBWTXJJ,3,130,136,Y,N
R1NKGQ5QRGOR9S,4,33,40,Y,N
R3NOUSSV8MPVMG,3,36,39,Y,N
RGRUGJL7OLL50,5,39,42,Y,N
RM79ZUB75AHS2,5,128,134,Y,N
R3TYODQJ379ONQ,3,20,20,Y,N
R1CG1AVAFSAPPC,2,399,407,Y,N
R38JT9L5EA35TZ,2,57,61,Y,N
R3CXH14QMPTDXI,2,33,33,Y,N
R2BUJKVIVIO8XK,3,168,194,Y,N
R25CBPJNSJL65S,5,81,84,Y,N
R2FVT90S2ADGBF,4,24,24,Y,N
R3VJAEYZR0D8Q7,5,20,21,Y,N
RLEZQ8RMOM1EM,1,29,33,Y,N
RVPGERNE9BAHE,4,48,55,Y,N
R1AOPK6K8HN1H8,5,21,25,Y,N
R2TOEIU1YXU1GZ,5,25,26,Y,N
RTVUMVTFZ95F9,5,44,45,Y,N
R2ZQ825YCDU0J,5,58,59,Y,N
R2TT3CPH1Q3FUR,5,42,49,Y,N
R1RZ0SUU1SYWA,4,63,71,Y,N
R3BJNM3QRTIMS7,4,321,327,Y,N
RMWUO8B7U261T,5,95,98,Y,N
R3HHH0MPUZXPIP,4,23,28,Y,N
R30AT8P8RF7NXY,5,34,37,Y,N
RKTA8SF3HYGBG,4,39,42,Y,N
RWFSN9STN79U3,5,26,31,Y,N
R2T7464AAV6VFA,5,108,110,Y,N
R75PGIBC1WC1A,4,19,22,Y,N
R2V3QOIM1TEKFW,5,53,57,Y,N
R2TEGKP93TLJLK,5,23,30,Y,N
R2CGILMX763ZWG,5,22,22,Y,N
R39DZA6814BEKU,5,26,28,Y,N
R912RGGMFC8A5,3,20,21,Y,N
R70S53XYLT76V,2,68,74,Y,N
R3LN91U37XCS1D,5,20,27,Y,N
RKLORWCBET67S,3,55,73,Y,N
R2BIHS2DHNQ3SU,4,55,57,Y,N
R1KJJ7VY4YONSA,4,22,24,Y,N
R355R1K0UUTPVM,5,70,71,Y,N
RH9EI8TTHE45W,5,28,31,Y,N
R1GRNLMBP4CC02,4,23,26,Y,N
R393A45ITWN11F,5,59,63,Y,N
RW9U7VT1GELNS,5,16,20,Y,N
